,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP002529,0.0,1.0,2,Graduate,No,6700,1750.0,230.0,300.0,1.0,Semiurban,1
1,LP001385,0.0,0.0,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1
2,LP001926,0.0,1.0,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,1
3,LP001144,0.0,1.0,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1
5,LP001367,0.0,1.0,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,1
6,LP002368,0.0,1.0,2,Graduate,No,5935,0.0,133.0,360.0,1.0,Semiurban,1
7,LP001228,0.0,0.0,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0
9,LP002219,0.0,1.0,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,1
11,LP001198,0.0,1.0,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1
12,LP002862,0.0,1.0,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,0
13,LP001529,0.0,1.0,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,1
14,LP002341,1.0,0.0,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,0
15,LP002813,1.0,1.0,1,Graduate,Yes,19484,0.0,600.0,360.0,1.0,Semiurban,1
16,LP002067,0.0,1.0,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,0
17,LP001608,0.0,1.0,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,1
18,LP001711,0.0,1.0,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,0
19,LP002473,0.0,1.0,0,Graduate,No,8334,0.0,160.0,360.0,1.0,Semiurban,0
20,LP001316,0.0,1.0,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1
22,LP001790,1.0,0.0,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,1
